"District","Party","Candidate","Votes","Percent","Incumbency","Winner","Chamber","Election","Year"
"District 1","Republican","Megan Dahle (incumbent)",129527,62.1,"Yes","Winner","Assembly","General",2022
"District 1","Democratic","Belle Starr Sandwith",79068,37.9,"No","Loser","Assembly","General",2022
"District 2","Democratic","Jim Wood (incumbent)",129356,68.9,"Yes","Winner","Assembly","General",2022
"District 2","Republican","Charlotte Svolos",58330,31.1,"No","Loser","Assembly","General",2022
"District 3","Republican","James Gallagher (incumbent)",98475,65.4,"Yes","Winner","Assembly","General",2022
"District 3","Democratic","David Leon Zink",52198,34.6,"No","Loser","Assembly","General",2022
"District 4","Democratic","Cecilia Aguiar-Curry (incumbent)",99342,64.9,"Yes","Winner","Assembly","General",2022
"District 4","Republican","Bryan Pritchard",53734,35.1,"No","Loser","Assembly","General",2022
"District 5","Republican","Joe Patterson",134729,60.2,"No","Winner","Assembly","General",2022
"District 5","Democratic","Rebecca L. Chenoweth",89245,39.8,"No","Loser","Assembly","General",2022
"District 6","Democratic","Kevin McCarty (incumbent)",98656,65.6,"Yes","Winner","Assembly","General",2022
"District 6","Republican","Cathy Cook",51823,34.4,"No","Loser","Assembly","General",2022
"District 7","Republican","Josh Hoover",83768,50.4,"No","Winner","Assembly","General",2022
"District 7","Democratic","Ken Cooley (incumbent)",82385,49.6,"Yes","Loser","Assembly","General",2022
"District 8","Republican","Jim Patterson (incumbent)",128124,74.2,"Yes","Winner","Assembly","General",2022
"District 8","Libertarian","Thomas Edward Nichols",44451,25.8,"No","Loser","Assembly","General",2022
"District 9","Republican","Heath Flora (incumbent)",96990,69.2,"Yes","Winner","Assembly","General",2022
"District 9","Democratic","Mushtaq A. Tahirkheli",43109,30.8,"No","Loser","Assembly","General",2022
"District 10","Democratic","Stephanie Nguyen",63570,53.8,"No","Winner","Assembly","General",2022
"District 10","Democratic","Eric Guerra",54595,46.2,"No","Loser","Assembly","General",2022
"District 11","Democratic","Lori D. Wilson (incumbent)",85599,59.2,"Yes","Winner","Assembly","General",2022
"District 11","No party preference","Jenny Leilani Callison",58889,40.8,"No","Loser","Assembly","General",2022
"District 12","Democratic","Damon Connolly",92287,51.8,"No","Winner","Assembly","General",2022
"District 12","Democratic","Sara Aminzadeh",85900,48.2,"No","Loser","Assembly","General",2022
"District 13","Democratic","Carlos Villapudua (incumbent)",51891,60.6,"Yes","Winner","Assembly","General",2022
"District 13","Democratic","Veronica Vargas",33673,39.4,"No","Loser","Assembly","General",2022
"District 14","Democratic","Buffy Wicks (incumbent)",139331,88.4,"Yes","Winner","Assembly","General",2022
"District 14","Republican","Richard Kinney",18242,11.6,"No","Loser","Assembly","General",2022
"District 15","Democratic","Tim Grayson (incumbent)",100712,67.3,"Yes","Winner","Assembly","General",2022
"District 15","Republican","Janell Elizabeth Proctor",48911,32.7,"No","Loser","Assembly","General",2022
